EmpID,BiasInfluentialFactor,FitmentPercent
5664,DegreeBranch,89.68142
23568,DegreeBranch,91.60906
21490,MartialStatus,79.05833
8363,CurrentCompanyType,56.139606
6165,Gender,80.39337
17679,CurrentCompanyType,59.328102
9715,DegreeBranch,83.673836
12591,CurrentCompanyType,53.66811
6140,CurrentCompanyType,53.03504
21018,CurrentCompanyType,55.789925
13221,DegreeBranch,76.43017
23585,YearsOfExperince,76.91487
22575,Ethinicity,84.45647
6078,HighestDegree,91.85146
24125,Gender,83.47499
18073,CurrentCompanyType,58.413136
21420,Ethinicity,78.46888
13218,YearsOfExperince,85.944214
8728,CurrentCompanyType,58.992764
21541,DegreeBranch,49.630173
12905,YearsOfExperince,94.60754
19873,Gender,81.575485
6947,YearsOfExperince,89.387505
19019,DegreeBranch,79.388535
24372,CurrentCompanyType,52.615665
5298,Gender,78.168564
18306,CurrentCompanyType,52.85963
22877,CurrentCompanyType,57.123173
15511,Ethinicity,79.69282
11889,LatestDegreeCGPA,82.06772
9848,Gender,81.12484
4944,Gender,76.99952
4689,CurrentCompanyType,58.325134
24333,HighestDegree,91.082054
12186,Ethinicity,81.91084
2936,DegreeBranch,78.93563
5082,CurrentCompanyType,56.234447
22236,EmpScore,91.61982
19221,HighestDegree,87.411804
20858,CurrentCompanyType,58.280884
16461,CurrentCompanyType,57.735653
22064,CurrentCompanyType,48.432747
3175,DegreeBranch,82.95154
18407,DegreeBranch,81.14679
3684,Gender,80.90637
2198,DegreeBranch,55.342823
7540,Gender,79.58555
12700,DegreeBranch,89.83563
17503,DegreeBranch,86.188065
9153,CurrentCompanyType,51.62743
12564,EmpScore,53.011787
16511,Gender,78.22461
16396,CurrentCompanyType,54.157894
6871,HighestDegree,86.477715
9376,YearsOfExperince,82.97424
7865,EmpScore,80.63528
20616,CurrentCompanyType,50.729877
8839,DegreeBranch,89.22955
15788,DegreeBranch,90.81843
10040,Ethinicity,79.76904
6147,CurrentCompanyType,55.147644
24148,EmpScore,82.70723
4187,CurrentCompanyType,56.84746
18097,EmpScore,55.505512
11617,DegreeBranch,82.73659
3642,Gender,79.61048
17990,Ethinicity,88.041824
10677,DegreeBranch,78.46936
2215,DegreeBranch,90.18073
9784,EmpScore,68.4239
13451,YearsOfExperince,86.64795
16266,MartialStatus,77.95509
19313,DegreeBranch,82.2864
16790,Gender,75.74604
21204,CurrentCompanyType,56.38162
24019,LatestDegreeCGPA,56.338867
14539,Gender,78.1758
3123,HighestDegree,72.74886
9647,HighestDegree,80.69167
18930,YearsOfExperince,78.75304
23676,Ethinicity,81.66609
16808,CurrentCompanyType,52.058514
23101,Gender,83.85696
3010,LatestDegreeCGPA,51.714443
4544,DegreeBranch,73.23062
